GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Runtime X-Ray,org.apache.commons.lang3.function,MethodInvokers,67,0,0,0,14,0,12,0,12,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableIntUnaryOperator,37,0,0,0,7,0,9,0,9,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableDoubleToLongFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailablePredicate,62,0,10,0,9,0,16,0,11,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableLongFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableLongConsumer,20,0,0,0,7,0,5,0,5,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableBiPredicate,67,0,10,0,9,0,16,0,11,0
Runtime X-Ray,org.apache.commons.lang3.function,Suppliers,17,0,2,0,5,0,6,0,5,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableDoubleUnaryOperator,37,0,0,0,7,0,9,0,9,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableBiConsumer,22,0,0,0,7,0,5,0,5,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableToIntBiFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,Failable,316,0,12,0,79,0,58,0,52,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableDoublePredicate,62,0,10,0,9,0,16,0,11,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableLongPredicate,62,0,10,0,9,0,16,0,11,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableSupplier,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableIntToDoubleFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableBiFunction,21,0,0,0,4,0,5,0,5,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableObjIntConsumer,6,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableDoubleFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,Consumers,15,0,2,0,5,0,4,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableToDoubleBiFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableToLongFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableToDoubleFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableIntToLongFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,lab.sample.model,Weather,0,21,0,0,0,1,0,1,0,1
Runtime X-Ray,lab.sample.model,Trip,21,21,2,0,5,1,2,1,1,1
Runtime X-Ray,lab.sample.model,Leg,0,12,0,0,0,1,0,1,0,1
Runtime X-Ray,lab.sample.model,Mode,0,33,0,0,0,1,0,1,0,1
Runtime X-Ray,lab.sample.model,TimeOfDay,0,21,0,0,0,1,0,1,0,1
Runtime X-Ray,org.apache.commons.lang3.text,StrLookup.MapStrLookup,18,0,2,0,6,0,3,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text,StrSubstitutor,987,0,98,0,258,0,105,0,56,0
Runtime X-Ray,org.apache.commons.lang3.text,StrMatcher.TrimMatcher,12,0,2,0,3,0,3,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text,ExtendedMessageFormat,742,0,101,0,176,0,75,0,22,0
Runtime X-Ray,org.apache.commons.lang3.text,StrTokenizer,932,0,88,0,244,0,109,0,65,0
Runtime X-Ray,org.apache.commons.lang3.text,StrBuilder,3363,0,464,0,716,0,386,0,154,0
Runtime X-Ray,org.apache.commons.lang3.text,CompositeFormat,34,0,0,0,9,0,6,0,6,0
Runtime X-Ray,org.apache.commons.lang3.text,StrLookup.SystemPropertiesStrLookup,3,0,0,0,1,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.text,WordUtils,516,0,92,0,125,0,61,0,15,0
Runtime X-Ray,org.apache.commons.lang3.text,StrMatcher.StringMatcher,54,0,6,0,11,0,6,0,3,0
Runtime X-Ray,org.apache.commons.lang3.text,FormattableUtils,125,0,16,0,17,0,14,0,6,0
Runtime X-Ray,org.apache.commons.lang3.text,StrMatcher.CharMatcher,16,0,2,0,4,0,3,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text,StrBuilder.StrBuilderWriter,43,0,0,0,14,0,8,0,8,0
Runtime X-Ray,org.apache.commons.lang3.text,StrMatcher,133,0,10,0,35,0,21,0,16,0
Runtime X-Ray,org.apache.commons.lang3.text,StrMatcher.CharSetMatcher,20,0,2,0,4,0,3,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text,StrBuilder.StrBuilderReader,147,0,24,0,29,0,21,0,9,0
Runtime X-Ray,org.apache.commons.lang3.text,StrMatcher.NoMatcher,5,0,0,0,3,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text,StrLookup,23,0,0,0,7,0,5,0,5,0
Runtime X-Ray,org.apache.commons.lang3.text,StrBuilder.StrBuilderTokenizer,35,0,4,0,9,0,5,0,3,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,AggregateTranslator,37,0,4,0,8,0,4,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,CharSequenceTranslator,188,0,16,0,35,0,14,0,6,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,CodePointTranslator,18,0,2,0,5,0,3,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,OctalUnescaper,116,0,24,0,18,0,16,0,4,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,LookupTranslator,132,0,16,0,28,0,10,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,202,0,50,0,41,0,28,0,3,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,UnicodeUnescaper,119,0,16,0,18,0,10,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,50,0,0,0,8,0,6,0,6,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,UnicodeEscaper,121,0,12,0,25,0,14,0,8,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,UnicodeUnpairedSurrogateRemover,13,0,4,0,3,0,4,0,2,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,21,0,0,0,4,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,NumericEntityEscaper,76,0,10,0,20,0,12,0,7,0
Runtime X-Ray,org.apache.commons.lang3.text.translate,EntityArrays,3463,0,2,0,27,0,14,0,13,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableShort,226,0,4,0,60,0,33,0,31,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableDouble,226,0,4,0,61,0,34,0,32,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableLong,216,0,4,0,59,0,32,0,30,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableFloat,218,0,4,0,60,0,34,0,32,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableInt,209,0,4,0,59,0,32,0,30,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableByte,226,0,4,0,60,0,33,0,31,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableBoolean,88,0,8,0,27,0,20,0,16,0
Runtime X-Ray,org.apache.commons.lang3.mutable,MutableObject,49,0,6,0,18,0,10,0,7,0
Runtime X-Ray,org.apache.commons.lang3.builder,ReflectionDiffBuilder.Builder,26,0,0,0,8,0,4,0,4,0
Runtime X-Ray,org.apache.commons.lang3.builder,ReflectionDiffBuilder,170,0,20,0,36,0,22,0,12,0
Runtime X-Ray,org.apache.commons.lang3.builder,RecursiveToStringStyle,47,0,6,0,13,0,7,0,4,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.JsonToStringStyle,503,0,82,0,132,0,61,0,20,0
Runtime X-Ray,org.apache.commons.lang3.builder,Reflection,16,0,0,0,4,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,DiffResult,114,0,2,0,23,0,11,0,10,0
Runtime X-Ray,org.apache.commons.lang3.builder,DiffBuilder.Builder,57,0,4,0,15,0,9,0,7,0
Runtime X-Ray,org.apache.commons.lang3.builder,HashCodeBuilder,759,0,94,0,143,0,85,0,38,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringBuilder,585,0,10,0,130,0,69,0,64,0
Runtime X-Ray,org.apache.commons.lang3.builder,EqualsBuilder,1088,0,248,0,277,0,167,0,43,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.MultiLineToStringStyle,31,0,0,0,7,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,DiffBuilder,664,0,102,0,64,0,115,0,64,0
Runtime X-Ray,org.apache.commons.lang3.builder,IDKey,37,0,6,0,11,0,6,0,3,0
Runtime X-Ray,org.apache.commons.lang3.builder,AbstractSupplier,5,0,0,0,3,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,DiffBuilder.SDiff,23,0,0,0,6,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.builder,CompareToBuilder,994,0,216,0,255,0,139,0,31,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.ShortPrefixToStringStyle,11,0,0,0,5,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.DefaultToStringStyle,5,0,0,0,3,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.NoFieldNameToStringStyle,8,0,0,0,4,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.SimpleToStringStyle,20,0,0,0,8,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3.builder,ReflectionToStringBuilder,419,0,52,0,102,0,62,0,36,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle,1649,0,196,0,463,0,212,0,114,0
Runtime X-Ray,org.apache.commons.lang3.builder,StandardToStringStyle,143,0,0,0,62,0,41,0,41,0
Runtime X-Ray,org.apache.commons.lang3.builder,MultilineRecursiveToStringStyle,370,0,6,0,81,0,17,0,14,0
Runtime X-Ray,org.apache.commons.lang3.builder,Diff,67,0,0,0,12,0,6,0,6,0
Runtime X-Ray,org.apache.commons.lang3.builder,ToStringStyle.NoClassNameToStringStyle,11,0,0,0,5,0,2,0,2,0
Runtime X-Ray,lab.sample.comfort,Breaks,0,29,0,2,0,5,0,4,0,3
Runtime X-Ray,lab.sample.transfer,Connections,1,45,1,3,0,6,1,3,0,2
Runtime X-Ray,lab.sample.transfer,Timetable,3,28,0,0,2,5,0,3,0,3
Runtime X-Ray,org.apache.commons.lang3.concurrent.locks,LockingVisitors,23,0,0,0,5,0,4,0,4,0
Runtime X-Ray,org.apache.commons.lang3.concurrent.locks,LockingVisitors.ReadWriteLockVisitor,15,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.concurrent.locks,LockingVisitors.StampedLockVisitor,15,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.concurrent.locks,LockingVisitors.LockVisitor,99,0,2,0,28,0,10,0,9,0
Runtime X-Ray,org.apache.commons.lang3,EnumUtils,392,0,28,0,67,0,36,0,22,0
Runtime X-Ray,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,69,0,4,0,11,0,5,0,3,0
Runtime X-Ray,org.apache.commons.lang3,Conversion,2715,0,426,0,459,0,287,0,44,0
Runtime X-Ray,org.apache.commons.lang3,ArchUtils,250,0,2,0,41,0,18,0,17,0
Runtime X-Ray,org.apache.commons.lang3,ThreadUtils.NamePredicate,34,0,8,0,6,0,7,0,3,0
Runtime X-Ray,org.apache.commons.lang3,CharUtils,315,0,48,0,34,0,50,0,26,0
Runtime X-Ray,org.apache.commons.lang3,AnnotationUtils,493,0,92,0,107,0,57,0,11,0
Runtime X-Ray,org.apache.commons.lang3,NotImplementedException,48,0,0,0,19,0,8,0,8,0
Runtime X-Ray,org.apache.commons.lang3,IntegerRange,18,0,0,0,4,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3,Range,358,84,66,10,70,20,57,8,21,6
Runtime X-Ray,org.apache.commons.lang3,LocaleUtils.SyncAvoid,19,0,0,0,5,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3,CachedRandomBits,124,0,12,0,25,0,9,0,3,0
Runtime X-Ray,org.apache.commons.lang3,SystemProperties,660,0,16,0,208,0,208,0,200,0
Runtime X-Ray,org.apache.commons.lang3,Charsets,23,0,6,0,4,0,7,0,4,0
Runtime X-Ray,org.apache.commons.lang3,ClassUtils.Interfaces,15,0,0,0,3,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3,ArraySorter,58,0,18,0,29,0,19,0,10,0
Runtime X-Ray,org.apache.commons.lang3,Streams.ArrayCollector,34,0,0,0,11,0,9,0,9,0
Runtime X-Ray,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,93,0,8,0,13,0,7,0,3,0
Runtime X-Ray,org.apache.commons.lang3,ObjectUtils.Null,5,0,0,0,3,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3,StringEscapeUtils,1091,0,0,0,67,0,18,0,18,0
Runtime X-Ray,org.apache.commons.lang3,CharSetUtils,233,0,48,0,56,0,32,0,8,0
Runtime X-Ray,org.apache.commons.lang3,ClassPathUtils,86,0,0,0,16,0,7,0,7,0
Runtime X-Ray,org.apache.commons.lang3,ClassUtils.new Iterator() {...},94,0,10,0,18,0,10,0,5,0
Runtime X-Ray,org.apache.commons.lang3,ClassUtils.new Iterator() {...},30,0,2,0,6,0,5,0,4,0
Runtime X-Ray,org.apache.commons.lang3,LocaleUtils,453,0,90,0,75,0,66,0,21,0
Runtime X-Ray,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,33,0,2,0,12,0,3,0,2,0
Runtime X-Ray,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},72,0,2,0,19,0,5,0,4,0
Runtime X-Ray,org.apache.commons.lang3,CharRange.CharacterIterator,130,0,18,0,30,0,14,0,5,0
Runtime X-Ray,org.apache.commons.lang3,DoubleRange,18,0,0,0,4,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3,ArrayFill,56,0,16,0,24,0,16,0,8,0
Runtime X-Ray,org.apache.commons.lang3,BooleanUtils,795,0,240,0,178,0,170,0,48,0
Runtime X-Ray,org.apache.commons.lang3,AppendableJoiner,199,0,16,0,38,0,21,0,13,0
Runtime X-Ray,org.apache.commons.lang3,Functions,226,0,4,0,44,0,44,0,42,0
Runtime X-Ray,org.apache.commons.lang3,ObjectUtils,772,0,106,0,172,0,105,0,52,0
Runtime X-Ray,org.apache.commons.lang3,ClassLoaderUtils,48,0,6,0,10,0,10,0,7,0
Runtime X-Ray,org.apache.commons.lang3,RuntimeEnvironment,48,0,4,0,10,0,9,0,7,0
Runtime X-Ray,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,4,0,0,0,2,0,2,0,2,0
Runtime X-Ray,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,27,0,6,0,6,0,5,0,2,0
Runtime X-Ray,org.apache.commons.lang3,NumberRange,6,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3,AppendableJoiner.Builder,36,0,0,0,11,0,6,0,6,0
Runtime X-Ray,org.apache.commons.lang3,RegExUtils,135,0,18,0,24,0,22,0,13,0
Runtime X-Ray,org.apache.commons.lang3,StringUtils,7023,0,1465,0,1693,0,991,0,251,0
Runtime X-Ray,org.apache.commons.lang3,SerializationUtils,117,0,2,0,31,0,8,0,7,0
Runtime X-Ray,org.apache.commons.lang3,CharSet,286,0,28,0,55,0,24,0,10,0
Runtime X-Ray,org.apache.commons.lang3,RandomStringUtils,838,0,86,0,117,0,89,0,46,0
Runtime X-Ray,org.apache.commons.lang3,RandomUtils,317,0,28,0,62,0,46,0,32,0
Runtime X-Ray,org.apache.commons.lang3,Streams,17,0,0,0,5,0,4,0,4,0
Runtime X-Ray,org.apache.commons.lang3,BitField,139,0,12,0,21,0,24,0,18,0
Runtime X-Ray,org.apache.commons.lang3,CharRange,242,0,48,0,44,0,39,0,15,0
Runtime X-Ray,org.apache.commons.lang3,LongRange,18,0,0,0,4,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3,ClassUtils,1382,0,242,0,314,0,189,0,68,0
Runtime X-Ray,org.apache.commons.lang3,JavaVersion,398,0,42,0,79,0,42,0,10,0
Runtime X-Ray,org.apache.commons.lang3,Validate,817,0,114,0,144,0,111,0,54,0
Runtime X-Ray,org.apache.commons.lang3,ArrayUtils,8250,0,1330,0,1873,0,1059,0,394,0
Runtime X-Ray,org.apache.commons.lang3,Streams.FailableStream,94,0,2,0,28,0,13,0,12,0
Runtime X-Ray,org.apache.commons.lang3,CharEncoding,32,0,2,0,13,0,4,0,3,0
Runtime X-Ray,org.apache.commons.lang3,Range.ComparableComparator,0,14,0,0,0,3,0,2,0,2
Runtime X-Ray,org.apache.commons.lang3,SerializationException,16,0,0,0,8,0,4,0,4,0
Runtime X-Ray,org.apache.commons.lang3,CharSequenceUtils,494,0,122,0,124,0,70,0,9,0
Runtime X-Ray,org.apache.commons.lang3,ThreadUtils,312,0,30,0,63,0,46,0,31,0
Runtime X-Ray,org.apache.commons.lang3,SystemUtils,507,0,46,0,154,0,44,0,21,0
Runtime X-Ray,org.apache.commons.lang3.tuple,MutablePair,73,0,2,0,25,0,13,0,12,0
Runtime X-Ray,org.apache.commons.lang3.tuple,MutableTriple,60,0,0,0,20,0,12,0,12,0
Runtime X-Ray,org.apache.commons.lang3.tuple,ImmutableTriple,70,0,8,0,14,0,13,0,9,0
Runtime X-Ray,org.apache.commons.lang3.tuple,Triple,128,0,10,0,20,0,15,0,10,0
Runtime X-Ray,org.apache.commons.lang3.tuple,ImmutablePair,73,0,6,0,16,0,15,0,12,0
Runtime X-Ray,org.apache.commons.lang3.tuple,Pair,124,0,8,0,24,0,19,0,15,0
Runtime X-Ray,lab.sample.terrain,Elevation,0,31,0,0,0,4,0,1,0,1
Runtime X-Ray,lab.sample.terrain,Terrain,3,60,2,9,2,13,2,8,0,3
Runtime X-Ray,org.apache.commons.lang3.arch,Processor.Arch,35,0,0,0,8,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.arch,Processor,90,0,14,0,16,0,18,0,11,0
Runtime X-Ray,org.apache.commons.lang3.arch,Processor.Type,56,0,0,0,11,0,3,0,3,0
Runtime X-Ray,lab.sample.weather,LuggagePenalty,0,6,0,2,0,1,0,2,0,1
Runtime X-Ray,lab.sample.weather,WeatherPenalty,1,20,1,6,1,4,1,5,0,2
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneDisplayKey,70,0,12,0,16,0,9,0,3,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedNumberField,39,0,4,0,12,0,6,0,4,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDateParser.StrategyAndWidth,54,0,6,0,10,0,6,0,3,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.PaddedNumberField,33,0,2,0,11,0,5,0,4,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDateFormat,298,0,2,0,49,0,43,0,42,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNameRule,54,0,2,0,11,0,4,0,3,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDateParser.PatternStrategy,66,0,2,0,14,0,7,0,6,0
Runtime X-Ray,org.apache.commons.lang3.time,AbstractFormatCache.ArrayKey,51,0,6,0,17,0,7,0,4,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.CharacterLiteral,14,0,0,0,6,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNumberRule,67,0,4,0,18,0,6,0,4,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDateParser,689,0,74,0,134,0,74,0,27,0
Runtime X-Ray,org.apache.commons.lang3.time,DateUtils,1307,0,152,0,254,0,142,0,61,0
Runtime X-Ray,org.apache.commons.lang3.time,GmtTimeZone,163,0,16,0,28,0,19,0,11,0
Runtime X-Ray,org.apache.commons.lang3.time,DateUtils.DateIterator,44,0,2,0,11,0,5,0,4,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDateParser.CopyQuotedStrategy,67,0,6,0,15,0,7,0,4,0
Runtime X-Ray,org.apache.commons.lang3.time,FastTimeZone,86,0,18,0,19,0,15,0,6,0
Runtime X-Ray,org.apache.commons.lang3.time,AbstractFormatCache,176,0,4,0,26,0,13,0,11,0
Runtime X-Ray,org.apache.commons.lang3.time,StopWatch.State,27,0,0,0,5,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitMonthField,23,0,0,0,8,0,5,0,5,0
Runtime X-Ray,org.apache.commons.lang3.time,FastDatePrinter.Iso8601_Rule,99,0,12,0,29,0,12,0,5,0
Runtime X-Ray,org.apache.commons.lang3.time,StopWatch,343,0,36,0,85,0,49,0,31,0
